date_time,vehicle_id,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 17:00:52.258,99,"[1618.4381062770128, 347.23919028544685]","[114.32008259581062, 30.49972608014568]",6.95,998139966#0,998139966#0_0,1.93,359.9,()
2023-03-02 17:00:52.248,99,"[1618.4413705326024, 345.31001523208994]","[114.32008310686317, 30.49970869122999]",0.0,998139966#0,998139966#0_0,0.0,359.9,()
2023-03-02 17:00:52.454,98,"[349.526011069604, 2112.523878142301]","[114.30643510263357, 30.51536579399796]",43.19,-231791566#0,-231791566#0_0,234.48,237.14,()
2023-03-02 17:00:52.445,98,"[359.60158501891726, 2119.030936585229]","[114.30653838146907, 30.51542661747819]",34.02,-231791566#0,-231791566#0_0,222.48,237.14,()
2023-03-02 17:00:52.434,98,"[367.53730833144124, 2124.1560258001236]","[114.30661972603615, 30.51547452321357]",27.74,-231791566#0,-231791566#0_0,213.03,237.14,()
2023-03-02 17:00:52.425,98,"[374.0093044713729, 2128.3358032834512]","[114.30668606683278, 30.515513592804275]",22.73,-231791566#0,-231791566#0_0,205.33,218.95,()
2023-03-02 17:00:52.415,98,"[376.99922967909407, 2133.4266375143907]","[114.30671592908907, 30.51556012481377]",20.5,:2401209203_6,:2401209203_6_0,199.02,153.5,()
2023-03-02 17:00:52.405,98,"[374.4071497173488, 2138.4159562980167]","[114.306687702027, 30.515604539904086]",24.7,-231791592#0,-231791592#0_0,193.32,145.78,()
2023-03-02 17:00:52.396,98,"[370.5486814276921, 2144.090174371041]","[114.3066461201599, 30.515654855922875]",35.69,-231791592#0,-231791592#0_0,186.46,145.78,()
2023-03-02 17:00:52.387,98,"[364.9723151012137, 2152.2907130864505]","[114.30658602480455, 30.515727574012374]",47.95,-231791592#0,-231791592#0_0,176.55,146.87,()
2023-03-02 17:00:52.378,98,"[358.61678843468434, 2163.9525748666047]","[114.30651695661153, 30.515831324289916]",48.67,:2401209253_7,:2401209253_7_0,163.23,157.85,()
2023-03-02 17:00:52.368,98,"[353.87408354576934, 2176.5932017725772]","[114.30646443607397, 30.515944244298637]",48.99,:2401209294_1,:2401209294_1_0,149.71,171.16,()
2023-03-02 17:00:52.359,98,"[353.05212408324974, 2190.1331377453835]","[114.30645251103172, 30.516066114830107]",50.26,-231791592#2,-231791592#2_0,136.1,180.62,()
2023-03-02 17:00:52.350,98,"[353.20369721310925, 2204.1003209709556]","[114.3064506152496, 30.516192046153776]",47.88,-231791592#2,-231791592#2_0,122.14,180.62,()
2023-03-02 17:00:52.341,98,"[353.34991929405345, 2217.402736464809]","[114.30644882907725, 30.516311984178166]",44.99,:2401209325_1,:2401209325_1_0,108.84,180.64,()
2023-03-02 17:00:52.332,98,"[353.48541450790015, 2229.8965440536726]","[114.30644713232425, 30.516424631186233]",35.67,-231791592#3,-231791592#3_0,96.34,180.6,()
2023-03-02 17:00:52.322,98,"[353.58921015524646, 2239.7986488105144]","[114.30644575013096, 30.51651391003765]",26.39,-231791592#3,-231791592#3_0,86.43,182.39,()
2023-03-02 17:00:52.313,98,"[354.15050659249044, 2247.086526069641]","[114.30644978125059, 30.516579723042003]",26.46,:2401209351_4,:2401209351_4_0,79.1,216.96,()
2023-03-02 17:00:52.304,98,"[359.144831295767, 2251.951506644529]","[114.30650056798633, 30.516624650908717]",26.44,:2401209351_4,:2401209351_4_0,71.75,265.18,()
2023-03-02 17:00:52.295,98,"[366.46089699542085, 2252.3434330012797]","[114.30657663929468, 30.516629759067666]",27.02,231791575,231791575_0,64.41,270.68,()
2023-03-02 17:00:52.286,98,"[373.96777892176493, 2252.2545034359755]","[114.30665481682327, 30.516630573885678]",40.22,231791575,231791575_0,56.9,270.68,()
2023-03-02 17:00:52.276,98,"[385.1403727672575, 2252.1221483618256]","[114.30677116950517, 30.51663178650353]",47.12,231791575,231791575_0,45.73,270.68,()
2023-03-02 17:00:52.267,98,"[398.22992300205397, 2251.967084245482]","[114.3069074856064, 30.516633207046134]",40.58,231791575,231791575_0,32.64,270.68,()
2023-03-02 17:00:52.258,98,"[409.5028446112108, 2251.8335406479882]","[114.30702488313777, 30.516634430324974]",31.84,231791575,231791575_0,21.37,270.68,()
2023-03-02 17:00:52.248,98,"[418.34687897330616, 2251.7287706330776]","[114.30711698595968, 30.51663538995957]",23.24,231791575,231791575_0,12.52,270.68,()
2023-03-02 17:00:52.239,98,"[424.8023537553428, 2251.6522964628657]","[114.30718421404346, 30.516636090378995]",14.96,231791575,231791575_0,6.07,270.68,()
2023-03-02 17:00:52.230,98,"[428.95903992017736, 2251.603054674148]","[114.3072275022706, 30.51663654136135]",6.88,231791575,231791575_0,1.91,270.68,()
2023-03-02 17:00:52.220,98,"[430.87, 2251.5804166666667]","[114.30724740323805, 30.51663674868738]",0.0,231791575,231791575_0,0.0,270.68,()
2023-03-02 17:00:53.233,97,"[2775.0880097952972, 737.2743536450265]","[114.33202676791554, 30.503489029539537]",51.58,-231808159#2,-231808159#2_1,1630.47,110.3,()
