dateandtime,vehid,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 06:44:34.325,4,"[2750.6823825253327, 1397.3861182623707]","[114.33161012700502, 30.50943413405243]",46.99,-725894815#0,-725894815#0_0,77.76,37.7,"(('838310065', 0, 2716.877424851159, 'y'),)"
2023-03-02 06:44:34.326,5,"[1844.3149467038133, 1787.2319391004976]","[114.32207795392162, 30.512754556505634]",37.22,-265762563#2,-265762563#2_0,43.08,270.97,()
2023-03-02 06:44:34.327,6,"[1637.3147036066332, 1689.7536098903076]","[114.3199470192392, 30.511831557723614]",23.61,-161503499#6,-161503499#6_0,13.88,183.13,()
2023-03-02 06:44:34.327,7,"[194.18452173913045, 807.7621739130435]","[114.30514244139195, 30.503571354873507]",0.0,231808154#0,231808154#0_0,0.0,84.0,()
2023-03-02 06:44:34.329,0,"[929.5717657706061, 551.416327476892]","[114.31286125116686, 30.50141881257294]",27.49,:2401390710_3,:2401390710_3_0,249.51,4.87,()
2023-03-02 06:44:34.331,1,"[2283.2821059941384, 921.3335862362602]","[114.32686167971967, 30.505043190998425]",50.54,236668173#3,236668173#3_1,183.25,289.1,()
2023-03-02 06:44:34.332,2,"[1369.8579981760913, 1126.840998228601]","[114.31730199842943, 30.50670014686319]",56.93,-267612556#7,-267612556#7_1,128.44,91.56,()
2023-03-02 06:44:34.333,3,"[2497.5179783907843, 2343.8678697981222]","[114.3287411105077, 30.517911756441453]",49.15,282304746,282304746_0,95.09,301.16,()
2023-03-02 06:44:34.334,4,"[2759.3626178758027, 1408.6161210625658]","[114.33169772743797, 30.509537213603032]",51.1,-725894815#0,-725894815#0_0,91.96,37.7,"(('838310065', 0, 2702.683897111174, 'y'),)"
2023-03-02 06:44:34.334,5,"[1833.0302006295394, 1787.4218893220173]","[114.32196042274037, 30.51275385299328]",40.63,:2713731849_1,:2713731849_1_0,54.37,270.96,()
2023-03-02 06:44:34.335,6,"[1636.8429715075754, 1681.1161436011398]","[114.31994424527701, 30.511753598558666]",31.14,-161503499#6,-161503499#6_0,22.53,183.13,()
2023-03-02 06:44:34.336,7,"[195.7199742643698, 807.9041645220309]","[114.3051583897769, 30.50357296543649]",5.55,:2401390757_6,:2401390757_6_0,1.54,84.22,()
2023-03-02 06:44:34.337,0,"[933.0054712183538, 559.0576989614488]","[114.31289509981232, 30.501488428906704]",30.17,231808116#3,231808116#3_0,257.89,25.13,()
2023-03-02 06:44:34.338,1,"[2268.1238799518537, 926.5835788312432]","[114.326702585617, 30.50508727631523]",57.76,236668173#3,236668173#3_1,199.29,289.1,()
2023-03-02 06:44:34.339,2,"[1387.0884727704965, 1126.3697710062029]","[114.31748148784119, 30.506699593465644]",62.07,:2733773961_7,:2733773961_7_1,145.68,91.51,()
